	u{power: 1.0}_u	C_u	d^2u/dx0^2{power: 1.0}_u	du/dx1{power: 1.0}_u	du/dx0{power: 1.0}_u	d^2u/dx1^2{power: 1.0}_u
0	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
1	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
2	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
3	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
4	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
5	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
6	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
7	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
8	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
9	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
10	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
11	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
12	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
13	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
14	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
15	0.0	0.0	0.0	0.0	-1.0	0.0
16	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
17	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
18	0.0	-0.046539787115087536	0.3214779108510049	0.0	-1.0	0.0
19	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
20	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
21	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
22	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
23	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
24	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
25	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
26	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
27	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
28	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
29	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
30	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
31	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
32	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
33	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
34	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
35	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
36	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
37	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
38	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
39	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
40	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
41	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
42	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
43	0.0	0.004696427236903449	-1.0	0.0	0.0	0.04006445243602007
44	0.0	0.0	0.0	0.0	-1.0	0.0
45	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
46	-1.3400153135562705	4.263324879716434	-1.0	0.0	-0.04639515260386151	0.0
47	-1.340015313556271	4.263324879716434	-1.0	0.0	-0.04639515260386389	0.0
